tweet_id,tweet_full_text,note_full_text,note_hours_crh,tweet_is_scam_or_manipulative,altered_media,tweet_claim,tweet_evidence,tweet_warrant,tweet_claim_clarity-How explicitly is the tweet making its claim,note_addresses_underlying_claim,note_addresses_evidence,helpful_clear,helpful_empathetic,helpful_good_sources,helpful_addresses_claim,helpful_important_context,helpful_unbiased_language
1645497824040357888,"#Bitcoin mining a zero carbon, fully electric business. The science is clear.  https://t.co/Y65PYJ0UVy","The electrical demand generated by Bitcoin mining has caused increased carbon emissions, including the use of coal plants that had been intended for decommissioning.     https://www.theguardian.com/technology/2022/feb/18/bitcoin-miners-revive-fossil-fuel-plant-co2-emissions-soared",47.75,no,no,,,,,,,,,,,,
1645497824040357888,"#Bitcoin mining a zero carbon, fully electric business. The science is clear.  https://t.co/Y65PYJ0UVy","This claim is misleading. The Crypto Climate Accord, a crypto group, agrees it is misleading.    Bitcoin mining requires energy. A study of 34 large-scale U.S. Bitcoin mines found that its annual energy needs directly resulted in emitting 10.4 million tons of carbon.    https://cryptoclimate.org/accord/  https://www.nytimes.com/2023/04/09/business/bitcoin-mining-electricity-pollution.html",48.25,no,no,,,,,,,,,,,,
1649129384748433408,"Julian Assange is a journalist who has been imprisoned in the UK for 4 years. 

He was a diplomatic refuge in the Ecuadorean Ecuadorean Embassy in London but was then arrested by British Police and imprisoned in HMP Belmarsh 

Despite numerous allegations he has never been… https://t.co/nybRS1Nnms",The &quot;photo&quot; of Assange on the right is not authentic. The image was AI-generated on Midjouney by an online user called &quot;The Errant Friend&quot; who has admitted it was AI generated. The following week the government of Russia reshared the fake image on Twitter.    https://observers.france24.com/en/artificial-intelligence-image-julian-assange-russian-embassy  https://apnews.com/article/fact-check-julian-assange-photo-966951086074  https://www.bild.de/politik/international/bild-international/the-activist-is-held-in-british-prison-belmarsh-uproar-over-alleged-photo-of-jul-83417456.bild.html  https://www.bild.de/politik/international/bild-international/the-activist-is-held-in-british-prison-belmarsh-uproar-over-alleged-photo-of-jul-83417456.bild.html,48.25,no,yes,,,,,,,,,,,,
1649422138674126849,I’ll never forget that 28 men replied to this newspaper ad. https://t.co/WQH5swr0fe,"Historians have been unable to find any evidence this advertisement ever existed: “Not only can no references be found to an original source, searching the Times itself leads to nothing”. Shackleton already had plenty of men to choose from.  https://www.smithsonianmag.com/smart-news/shackleton-probably-never-took-out-an-ad-seeking-men-for-a-hazardous-journey-5552379/",48.25,no,yes,,,,,,,,,,,yes,yes
1652322882406457346,"This is why I will never be a Democrat!!!!

This isn’t normal!!! https://t.co/xzEKU0Rrwo","This video was not taken in America, it was taken in Poland.    https://twitter.com/visegrad24/status/1310265389306257414?lang=en",48.25,no,no,,,,,,,,,,,no,
1652500813057601536,And he admitted it.,"“The interview is a lie, Stanley Kubrick has never been interviewed by T.Patrick Murray, the whole story is made up, fraudulent &amp; untrue.”-A spokesperson for Stanley Kubrick’s widow has since declared.  Moon landing occurred on July 20, 1969.  https://sports.yahoo.com/news/stanley-kubrick-estate-rubbishes-confession-143113320.html  https://www.snopes.com/fact-check/false-stanley-kubrick-faked-moon-landings/  https://www.history.com/news/moon-landing-fake-conspiracy-theories  https://apnews.com/article/science-apollo-11-moon-landing-moon-stanley-kubrick-entertainment-7b5b3ba566714c31a2c5258d1e354028  https://www.theparisreview.org/blog/2019/07/18/how-stanley-kubrick-staged-the-moon-landing-and-other-stories/  https://abcnews.go.com/Technology/apollo-11-moon-landing-conspiracy-theories-endured-debunked/story?id=64339363",48.25,no,yes,,,,,,,,,,,,
1653634739524481024,"Did US just blow up Aframax tanker PABLO of so-called ""Dark Fleet"" in South China Sea for sanction busting? 

Pablo known to carry Iranian oil, left China to international waters around Singapore where it prbly did ship-to-ship transfer. anti-ship missile? https://t.co/SJiPgcQTHZ","There is no evidence that the ship was subject to any military action. According to the ship’s captain Lepyoskin Oleksandr, a fire broke out on the upper deck which has been extinguished and the ship is still afloat. This is not consistent with the use of anti-ship missiles.    https://www.nst.com.my/news/nation/2023/05/905044/captain-believes-crewmen-are-alive-trapped-pleads-immediate-rescue-nsttv",48.25,no,no,,,,,,,,,,,,
1653777202691948545,Russian President Vladimir Putin survives assassination attempt by Ukrainian drone. https://t.co/lvYmQMNQwS,"Press Secretary of the President of Ukraine, Serhii Nykyforov, said that they were not involved in the drone attack on the Kremlin.    https://meduza.io/en/news/2023/05/03/zelensky-spokesman-says-ukraine-has-no-information-about-alleged-drone-strike-on-kremlin-calls-attack-predictable-step-from-our-opponents    https://twitter.com/disclosetv/status/1653747026117513217?s=61&amp;t=RNXmXqezlERd_M5fqO0rkA    https://www.indiatoday.in/world/russia-ukraine-war/story/no-info-ukraine-denies-kremlins-claim-of-assassination-attempt-on-putin-2368139-2023-05-03#    https://tass.com/world/1612981    https://www.reuters.com/world/europe/russia-launches-unsuccessful-strikes-kyiv-ukraine-2023-05-03/",48.25,no,no,,,,,,,,,,,,
1653777202691948545,Russian President Vladimir Putin survives assassination attempt by Ukrainian drone. https://t.co/lvYmQMNQwS,"As of the moment, there is no proof that the drone used in the attack was Ukrainian. Ukrainian officials have denied responsibility for the attack.       Source;    https://www.bbc.co.uk/news/world-europe-65471904",46.5,no,no,,,,,,,,,,,,
1654968316673286145,"Conservatives need to stop using the 13/51 meme. It's statistically inaccurate.

Yes, it's true that blacks are 13% of the population. But they don't commit 51% of the murders in the US anymore. They commit 60.4% of them. https://t.co/CBrWcZtT1S","Math is wrong. Subtracting “Unknown” from “Total”, which only includes offenders where race is known, makes no sense and makes the result much larger.    Correct calculation is:    7,875/(7,875+4,905+1,941+165+95)=52.6%    Note: Current FBI data slightly different but result same.    https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",47.75,no,no,,,,,,,,,,,,
1656026533843161090,"Wow Tory Lanez was denied, Marilyn Mansons defamations trials were thrown out and Trump is a registered sex offender??? We really won today https://t.co/5GutxmB5jT",Trump is not required to be registered as a sex offender.    https://www.verifythis.com/article/news/verify/donald-trump/why-trump-not-required-register-sex-offender-e-jean-carroll-verdict/536-ccbf784c-a650-4120-9610-95d4aade0360,2,no,no,,,,,,,,,,,,
1656121758544539648,What can’t President Trump do? He’s so talented! https://t.co/ALl7HTeUiJ,This is an AI generated image.,48.25,no,yes,,,,,,,,,,,,
1656367520431894533,"7.4 Earthquake Hits #Tonga 

#earthquake #quake #sismo https://t.co/eGRRFV7orV","This video is not from today's earthquake in Tonga; it is from Indonesia in 2018.    Fact-check from a previous time this video was shared with an inaccurate caption. https://newsmobile.in/articles/2023/04/03/fact-check-2018-video-from-shared-as-recent-earthquake-in-papua-new-guineafact-check-old-video-from-2018-shared-as-recent-earthquake-in-papua-new-guinea/    Today's earthquake was very deep, so surface shaking was not strong enough to cause this level of damage: https://earthquake.usgs.gov/earthquakes/eventpage/us6000kawn/executive",48.25,no,no,,,,,,,,,,,,
1657081057261281290,"There is no single solution to gun violence. Let’s build safer communities by:

👉 Banning assault-style firearms, which 87% of Canadians support.

👉 Seizing over 1,000 guns at the border, last year alone. 

👉 Investing hundreds of millions in law enforcement and prevention https://t.co/MzjTBuchH1","There is no legal definition of ‘assault rifles in Canada’. Fully automatic firearms, which have generally been considered ‘military grade’ have been banned since the 1970s  https://www.rcmp-grc.gc.ca/en/history-firearms-canada#",48.25,no,no,,,,,,,,,,,,
1658076161191051270,"BREAKING: Gas prices have fallen 30% in the last year. ⛽️ 

Thanks, @POTUS. https://t.co/eJn5YoEBhi","For context, gas prices averaged $2.379/gallon in Jan 2021 when Biden took office:     https://fuelsmarketnews.com/eia-gasoline-and-diesel-retail-prices-update-jan-20-2021-analysis-by-dr-nancy-yamaguchi/    Gas prices average $3.535/ gallon today    https://archive.ph/2023.05.15-220909/https://gasprices.aaa.com/",19.75,no,no,,,,,,,,,,,,
1658557812136353793,Google will start deleting inactive accounts after two years https://t.co/paLhZFUgJB by @RonAmadeo,"Google has announced this change, however it will not affect inactive accounts with YouTube videos.    https://9to5google.com/2023/05/16/google-account-delete/",48.25,no,no,,,,,,,,,,,,
1660405577657221120,So George Soros endorses Desantis and Bill Gates....That's all you need to know about DeSantis 🤔😂 https://t.co/HpbqhrDYnB,"This isn't a real video. It was created using footage of Hillary Clinton on the TODAY show in December 2021. In that interview, she did not discuss DeSantis.    https://www.snopes.com/fact-check/did-hillary-clinton-endorse-ron-desantis-for-president/",48.25,no,yes,,,,,,,,,,,,
1660405577657221120,So George Soros endorses Desantis and Bill Gates....That's all you need to know about DeSantis 🤔😂 https://t.co/HpbqhrDYnB,This video is A.I. generated. Hilary Clinton did not say this.   https://www.cnn.com/interactive/2020/10/us/manipulated-media-tech-fake-news-trnd/  https://www.businessinsider.com/how-to-detect-ai-generated-content-text-chatgpt-deepfake-videos-2023-3?op=1,46.75,no,yes,,,,,,,,,,,,
1661820136469176339,BREAKING: GTA 6 will be Play to Earn! 🤯 https://t.co/ZwQZdXhaVd,"Neither 'GTA 6' or Rockstar said that.    The play-to-earn is also an old rumor, not a fact: https://www.forbesindia.com/article/crypto-made-easy/gta-6-could-introduce-a-crypto-reward-system/77777/1",48.25,no,no,,,,,,,,,,,,
1664090195346722816,"If you are lucky enough to survive a lightning strike,this is what your body will look like https://t.co/9G7oLix3Gb","This image is frequently circulated with claims that it is the result of a lightning strike, but it is actually makeup by special effects artists at Gorka Aguirre Studio.    Fact-check from a previous time this image was shared: https://factcheck.afp.com/scars-and-bruises-lightning-strike-no-its-special-effects-make",48.25,no,no,,,,,,,,,,,,
1664970492074250245,"Therapy is expensive, costing over $150/hour.

Luckily, you can turn ChatGPT into a FREE therapist.

Here's how to use ChatGPT to improve your mental health:",It is generally accepted by experts that using an artificial intelligence as a &quot;free therapist&quot; is not viable due to many factors. Please see the following literature.    https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6532335/    https://www.wsj.com/articles/can-artificial-intelligence-replace-human-therapists-11616857200    (Links found in the article)  https://journals.sagepub.com/doi/full/10.1177/0706743720966429    https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2730782    (Article explaining potential confirmation biases and more)  https://www.statnews.com/2019/09/20/artificial-intelligence-tool-finding-mental-health-therapist/    https://www.washingtonpost.com/technology/2023/02/03/ai-mental-health-therapy/,48.25,no,no,,,,,,,,,,,,
1666084294236975111,"The Counter Strike 2(CSGO) Limited Test is now live.
Get the CS2 beta version now :
https://t.co/eAGWhdul89

CSGO 2 is a competitive first person shooter and has the highest skill ceiling of any shooter  

#CSGO #CS2 #csgobeta #csgo https://t.co/ojP0D3Ev8G",This is a fake Counter-Strike Twitter account linking to a fishing website.    Do not click the link.     Official Counter-Strike Twitter: @counterstrike,48.25,yes,no,,,,,,,,,,,,
1667942869519269890,"This is a disgrace. 

Not only is it in breach of US Flag Code, but it’s a glaring example of this White Houses’ incompetence and insistence on putting their social agenda ahead of patriotism. https://t.co/Hn2jART16m","While it cannot be seen in this photo, the American flag is being flown on top of the White House in the center of the building, and therefore, the flag code is not being violated.    The American flag on top of the White House can be seen in the image in this tweet:  https://twitter.com/AriDrennen/status/1667756055705665538",48.25,no,no,,,,,,,,,,,,
1671201838752837651,Elon Musk has now changed the Twitter like button from ❤️ to 💙 https://t.co/knCJKZx7W1,The colour of the like button has not been changed. This is a troll post intended to increase engagement by tricking you into liking it.  https://amp-knowyourmeme-com.cdn.ampproject.org/v/s/amp.knowyourmeme.com/memes/twitter-changed-the-color-of-the-like-button?amp_gsa=1&amp;amp_js_v=a9&amp;usqp=mq331AQIUAKwASCAAgM%3D#amp_ct=1687286401741&amp;amp_tf=From%20%251%24s&amp;aoh=16872863873449&amp;referrer=https%3A%2F%2Fwww.google.com&amp;ampshare=https%3A%2F%2Fknowyourmeme.com%2Fmemes%2Ftwitter-changed-the-color-of-the-like-button,47,yes,no,,,,,,,,,,,,
