tweet_id,tweet_full_text,timely,positive_sentiment,negative_sentiment,contains_alleged_fact,promotion,presented_emotionally,subjective,subjective explanation,topic,notes
1634653284450304000,"Silicon Valley Bank was founded in 2012 by Shanghai Pudong Bank &amp; a California ‘poker-player’ lender. 
Why in hell should US taxpayers save a Chinese bank w a bailout? Screw that BS! https://t.co/nbnHRN9MTV",no,no,yes,yes,no,yes,yes,,politics,
1643178412213764096,"These rules were written in 1919. Over 100 years later people have intrinsically not changed that much. We should all read and study this, it must be resisted at all cost. https://t.co/lUs7btThSE",no,no,yes,yes,no,yes,yes,,science,
1658076161191051270,"BREAKING: Gas prices have fallen 30% in the last year. ⛽️

Thanks, @POTUS. https://t.co/eJn5YoEBhi",yes,yes,no,yes,no,yes,yes,,economy,fake news
1652500813057601536,And he admitted it.,no,no,no,yes,no,no,no,,unknown,
1658557812136353793,Google will start deleting inactive accounts after two years https://t.co/paLhZFUgJB by @RonAmadeo,yes,no,no,yes,no,no,no,,tech,
1637750399435145216,"It is easy to say that ""earthquake prediction from planetary alignment has been disproven.""

But scientists have not studied the relationship between specific planetary alignments and larger earthquakes.

SSGEOS has done this study and developed #SSGI to prove this relationship. https://t.co/pGFv62h4WN",no,no,no,yes,no,no,yes,,science,
1664970492074250245,"Therapy is expensive, costing over $150/hour.

Luckily, you can turn ChatGPT into a FREE therapist.

Here's how to use ChatGPT to improve your mental health:",no,yes,no,yes,yes,yes,yes,,tech,
1630218103517749248,"When he started to say this, the broadcast was stopped",yes,no,no,yes,no,no,no,,unknown,
1641557455212806147,"Alvin Bragg lowered 52% of criminal charges in NYC last year to misdemeanors. He just bent over backwards legally to raise the charges against Trump to a felony.

WITCH HUNT!!",no,no,yes,yes,no,yes,yes,,politics,
1657081057261281290,"There is no single solution to gun violence. Let’s build safer communities by:

👉 Banning assault-style firearms, which 87% of Canadians support.

👉 Seizing over 1,000 guns at the border, last year alone.

👉 Investing hundreds of millions in law enforcement and prevention https://t.co/MzjTBuchH1",no,no,no,yes,no,yes,yes,,politics,
1645497824040357888,"#Bitcoin mining a zero carbon, fully electric business. The science is clear.  https://t.co/Y65PYJ0UVy",no,yes,no,yes,yes,no,no,,science,
1656367520431894533,"7.4 Earthquake Hits #Tonga

#earthquake #quake #sismo https://t.co/eGRRFV7orV",yes,no,no,yes,no,no,no,,science,
1653634739524481024,"Did US just blow up Aframax tanker PABLO of so-called ""Dark Fleet"" in South China Sea for sanction busting?

Pablo known to carry Iranian oil, left China to international waters around Singapore where it prbly did ship-to-ship transfer. anti-ship missile? https://t.co/SJiPgcQTHZ",yes,no,yes,yes,no,yes,no,,politics,international?
1666084294236975111,"The Counter Strike 2(CSGO) Limited Test is now live.
Get the CS2 beta version now :
https://t.co/eAGWhdul89

CSGO 2 is a competitive first person shooter and has the highest skill ceiling of any shooter

#CSGO #CS2 #csgobeta #csgo https://t.co/ojP0D3Ev8G",yes,yes,no,yes,yes,no,yes,"""highest skill ceiling of any shooter""",tech,
1654968316673286145,"Conservatives need to stop using the 13/51 meme. It's statistically inaccurate.

Yes, it's true that blacks are 13% of the population. But they don't commit 51% of the murders in the US anymore. They commit 60.4% of them. https://t.co/CBrWcZtT1S",no,yes,yes,yes,no,yes,no,doesn't convey state of any parties,social,
1660405577657221120,So George Soros endorses Desantis and Bill Gates....That's all you need to know about DeSantis 🤔😂 https://t.co/HpbqhrDYnB,yes,no,yes,yes,no,yes,yes,"""that's all you need to know""",politics,
1664090195346722816,"If you are lucky enough to survive a lightning strike,this is what your body will look like https://t.co/9G7oLix3Gb",no,no,yes,yes,no,yes,yes,"""lucky enough""",science,
1653777202691948545,Russian President Vladimir Putin survives assassination attempt by Ukrainian drone. https://t.co/lvYmQMNQwS,yes,no,no,yes,no,no,no,,politics,maybe international politics?
1656026533843161090,"Wow Tory Lanez was denied, Marilyn Mansons defamations trials were thrown out and Trump is a registered sex offender??? We really won today https://t.co/5GutxmB5jT",yes,yes,yes,yes,no,yes,yes,"""Really won""",social,
1667942869519269890,"This is a disgrace. 

Not only is it in breach of US Flag Code, but it’s a glaring example of this White Houses’ incompetence and insistence on putting their social agenda ahead of patriotism. https://t.co/Hn2jART16m",yes,no,yes,yes,no,yes,yes,,politics,
