timely,positive_sentiment,negative_sentiment,contains_alleged_fact,promotion,presented_emotionally,subjective,topic,partisan_lean,misleading_type,tweet_point_clarity,tweet_uses_conspiratorial_thinking,tweet_uses_hate_speech,tweet_uses_vulgar_language,tweet_is_believable,tweet_id
yes,yes,no,yes,no,yes,no,tech,none,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1661820136469176339
yes,yes,no,yes,no,yes,no,tech,none,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1661820136469176339
no,no,yes,yes,no,yes,no,science,none,notMisleading,high,no,no,no,yes,1664090195346722816
no,no,yes,yes,no,yes,no,science,none,notMisleading,high,no,no,no,yes,1664090195346722816
no,no,yes,yes,no,yes,no,health,none,notMisleading,high,no,no,no,yes,1664090195346722816
no,yes,no,yes,yes,no,no,health,none,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1664970492074250245
no,yes,no,yes,yes,yes,yes,health,none,misleadingMissingImportantContext,high,no,no,no,no,1664970492074250245
no,yes,no,yes,yes,no,no,health,none,misleadingMissingImportantContext,high,no,no,no,no,1664970492074250245
yes,yes,no,yes,yes,no,yes,tech,none,notMisleading,high,no,no,no,yes,1666084294236975111
yes,yes,no,yes,yes,no,yes,tech,none,notMisleading,high,no,no,no,yes,1666084294236975111
yes,yes,no,yes,yes,no,yes,tech,none,notMisleading,high,no,no,no,yes,1666084294236975111
yes,no,yes,yes,no,yes,yes,politics,right,misleadingMissingImportantContext,high,no,no,no,no,1667942869519269890
yes,no,yes,yes,no,yes,yes,politics,right,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1667942869519269890
yes,no,yes,yes,no,yes,yes,politics,right,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1667942869519269890
yes,no,no,yes,no,no,no,tech,none,notMisleading,high,no,no,no,yes,1671201838752837651
yes,no,no,yes,no,no,no,tech,none,notMisleading,high,no,no,no,yes,1671201838752837651
yes,no,no,yes,no,no,no,tech,none,notMisleading,high,no,no,no,yes,1671201838752837651
